,0,1
16,"DidBas Copy & Paste...Jinnah also laughing on Indian prime minister who is go to Pakistan for biryani now see who is fevering PakistanYou're North Indian & that too a BJP member so your ignorance regarding the rest of the country is not surprising. This is the flag of the IUML which part of the INC-led UDF alliance in Kerala.Only one indian flag waving in thousand of those flags.......Correction* is this really Indian flag or congress flag ....... It doesn't look like Indian flagHindustan ko hindustan rakhna hai to b.j.p.ko vat karo.....aa gaya copy paste BJP IT cell ka Viral tweet to spread hatred and divide people in Hindu-Muslim. 5 saal me achhe din to laa nahi sake iss liye kamal vale ab kichad uchalenge. This is the flag of the IUML which part of the INC-led UDF «54,000 people about to go jobless in BSNL Just waiting till elections.. But don’t share this, please continue with your Hindu-Muslim-Pakistan nonsense to get distractedNo. No. Jinah should be happy today. Because Rahul Gandhi is carrying his mission forward in India.",
17,"why votes polled and counted didnot match ??Which seat is that?From the quoted article: gemerare <b} Sia feet HUT & Ve gee WW ...& ECI says all well.is absolutely right in saying that booth capturing was retail level rigging and EVMs are wholesale rigging., this is a totally baseless and fake news.",
18,"madam ur really a lady tiger...... Jai Kavitakka.... Jai kalvakuntla vidya sagar.... jai Ch anandh Goud..Jai kavitha akkaWY Fos Heparen HS ges\O Sodsah, Oded evtoyb DBD HBS kv Na HSBodsHow AvavaArden -€3.e96.0HH M6 65 HOSES AYSA) Feo MGeo HI aayseprr SO Docs yaspBev?? woe MLA DoXesoads BLYJCEI QDYOH???( 08 ages» TRS,BIP Srabavraren BaHycooe Soc Sod eveK& )jai Telangana Jai Kavitha akkaJai KavithakkaDearMadam RaikalMdl lo Pedda Vil Aina Allipur Gramaniki Mdl Cheyumani Korutu Gatha5Oyrs kala ma vurilo janaba 10000 Paine Gatha 70 elluga 10school,Post office,paccs,ups ,AyurvedaHosp, VetarnityHosp,Modatlo RaikalMdl GramanikiGreat Madam Jai ker sirJai KCR Jai Telangana| m not gona vote for u dis time mam i was very much dissappointed by u way of dealing may promises that u have promised r remaianse as promissed...last time i ve voted for u but now m not give u my vote...a dissappointed nizamabadi....BOS SHes5
",
19,"This man has got verbal dihorrea. He needs medication.As a protest again this comments you should leave India and settle in PakistanWhere's the abuse? | only hear factsDam h to Dr Zakir Naik k sath debate krke dikha haar na maan li tmlogo ne to kahnaWhy are you forwarding this? Aren’t you indirectly promoting it ? SenselessYou like with toiletwe need to ask these babas and pandits to stand for us hindus nowTell me who's Ram Idiot..Is mardood pe karod karod laanat hai Allah is gustaakh pe sakht se sakht azaab naazil farmaye.. AameenAjow Zakir Naik sa debate karoBhai inlog k dimag me to gobar bhara hua hai shaq nahi. Asal me ye log hatash pareshan hain k hum ye log etna mahnat kar rahe Islam ko defame karn...
","
"
20,"Modi ke ghar.... Aa jao le lo...watt po waeRT ot anit a sx om va, HS wtManipulate hone jaa rahi hai ya hoke jaa rahi haiExchenge offer chal raha hai kya juna do naya loEC SHOULD TAKE THIS SERIOUSLY. INSTEAD GIVING CLEAN CHITS TO BJP.Hahahahaha... Har ka dar abhi se..Darna jaroori h kyunki.. 31271 at Atal &1ferrcht adh saebT at ae ftad evm bu cu and wypat €,sit Hella Gera St We aaa HEI & fey Tal iret &... Hw at er Hr oarharewe... ang 3 at evm é at wera gg 3k Sa OTT GAT evm Rata w go al Sore erstPeecha karna chahiye tha. Chup chap.kindly look into it",
21,"ae 2 ar ar uel? Ta Tra Gera at eT Ad a |Right Bhai shabGaddar ho tum jaise log, jo apne fayde ke liye desh ko badte ho. Bharat aur Dehli ki janta tum jaise gaddaron ko sabak sikhayenge.ISIS & ga facet Hise BT RTT a USAT‘Old at Sel @, WR sa feanfes gate fen drei S wank fear sigRight sirDesh ke gaddaro ko goli maro salo koele unde Sere & fare Car Ter SAT AR Ara HT TATA @, Tera site vt Farsi 4a sew se ea aTSy sees Ura Glas ST Varo HA AY arpa @, Tafa.Hafiz saeed k vicharo k tum jese gaddar log ho ,jo nara tu bata rha h wo is desh ki janta tumjese chamcho pe bohot jald istemaal karegi
",
22,Sad way to put it my friend. Sikhs learnt in 84 how brutal and kniving the Indian majority are. Mistakes in 1947 happened that cannot...Good keep it up . pakistan always with u.No one can stop making KhalistanGreat Shot Sardar Ji...welldone..keep it up...| wish you had continued with your movement after attack on Amritsaryes rise the Khalistan Flag now speed up for creation of Kahlistan A Country for our Sikh Brothers Long live Khalistan.This is bad. No one has right to burn flags for any country. Raising your flag does not need to burn other countries flag. What are the...Kashmir khalistan do juda mulk ban jayengy ind mein serf Hindu rahengy kionky Hindu Majority mein zyada hai aur tumlogo aur musa...Khalistan zinda bad| dont see any comments from Sikh brothers...Teri maa ka bhosdha madarchodNo 1 in world no toilets in India No 1 in world poor people in India No 1 in world rape rankings india No 1 in world stupid country indi...This account is surely handled by a Porki disguised as a Sikh,
23,a afea org Ht tara f Ho ret ANY Sa SA Rafat wt ait Shere ferrisa &aide ht terger¢ a aaBee HLA TH Se Tel S1 TA &H ele IInhe famous hona h.. To kar do... Taki police tak pohoch jayeWe get this....and Muslims get two Nations after the fight for independence! Legacy of Gandhis...enjoy....IF POLITICALLY HINDUS ARE WEAK THEN TH... BC SIR Qtebet at feaTHT sik TAHT GER Heat feet & YIRI Servet! feb siterre TT | GER ater F sty sitepra B xe ott fora fest SH GAM at Ser GH Ye er sea UT et Bistfier wed 8 Tet & clas & Hraferey Vt eet SBhai ye hamari kamjori hai aur kuch nahi Ram naam se kuch nahi hoga parshuram banoeer TER Aaa S sik ear gran dfaar aWe all Hindus and real Hindustani are in dangerYe bsdk paida krke chod diya inko... Halala ki paidaish he kutte aur karenge bhi kya ye bhdwe.. Ualt Repd RANT HT STN Slat GT VET ARG PI VAR eg SRY Gott at aAPSY SAT AT,
24,"Thank God !! You people were not there at the time of Jallianwala BAGH !! Else we won't have gotten the freedom !!!| would also like to known what's happening in Syria. Hope u will reply..? Or be coward like PM of India.And atleast don't insult your self because u will not talk on development of clinics, education, water supply, etc and basic needs of common people. So it's clear who is trying to make Syria.Right sirIt will not become Syria if protestors will not be stopped brutally. Delhi will never become Syria if women protesting will not forget the reason of their protest “sree o Ast -St are"" feb He 4; aferera Br fesara, fear sik a ord aera gier H, wife, area AHam sabi desbhakt aap ke sath hai aap aage badhe.ham bhi apne level pe BJP ke liye jitna ho sakega prachar karunga.jai hindBand Karo Sir Jee Iss Tarah ki Politics. Dare to do the politics on basis of Development (Sabka Saath, Sabka Vishwash)Look at all the negative responses they all are theBokhlaye huve BJP ke Sanghi LeaderYour mouth is not mouth but an underwear, when ever you open it you start shitting around.
",
25,"Insha-Allah... Khalistan Bunaygah..Sara Pakistan ap k sath hy,Khalestan zandabadKhalistan Zinda abad , Pakistan zinda abad, Pakistanis and Sikh brothers will rule india soon !AgreeKhalistan ZindabadSardar sb, now no one suppress the lips of common people....If World War happens, then neither India nor Pakistan will survive but apart this globe called EARTH will also be destroyed. And you know no one can live any other place then |Geyyyyy oyyyy xhaxha jiGo india goccNo need for khalistan
",
26,"With due respect, sara, we do forget our heroes and sacrificedYour sincerity based and therefore, honored tweet needs to fall on the ears of thankful Pakistanis. This nation is ungrateful to Allah f...According to the Mufti and Abdullah families they were only terrorists. Shame on these families!Shaheed Ki Jo Maut Hai, Woh Quam Ki Hayat Hai...Na Daru Na Gym Karu Jihadi hu beta Fatt jau kabhi bhi Jabhi mera man karu ~The Great legendary Porkis JihadisHappy TD NAIKO AND SHABIR BHAI AND ALL THE HIGHLY QUALIFIED PERSONS WHO LAID THEIR LIFE FOR THE CAUSEHow to dislike this postif one starts watching(it's not occupied) it's still within India.. please amend and your so called teacher picked Gun... and if you have guts try to touch Hind...
",
27,"Aaj ye dusro k ghar jala rahe hai kal jab aag inke ghar tak aayegi to inhe koi sath khada hone wala nahi milega samaj se upar kuch na...Don't worry brother, they are trying to put their hands in caves of tigers. Dies their own death time will come shortly. RgdsKisan mazdoor ekta zindabad..Fail governmentThey are BJP goons.. Police became statueShakal se hi gunde hain.Gujarat me CM modi ne kaafi kuch krwaya tha...Aaj lost hi bdli hai , ab PM Modi , kuch bhi krwa skte hain...police dekho...kuch krti hi ...Make them famous internationally. These are RSS terrorists in IndiaGoons#KisanEktaMorchaBjp goonsSpeak up world leaders to stop another genocide at New Delhi",
28,"Modi is corrupt & a Xi puppetThe best way to beatthe election rallies were murder. but exporting vaccine was good, i think that is part of why India is receiving international assistance now. if you give what you can when you have it, you will receive what you need when you need it.Oh shit, he’s like the Indian “trump,""unbelievableThe PM of India sounds like the twin of our former guy! Blind unless looking in heir mirrors. So incredibly sad. Thank God for President Biden.What can | do to help you? | am an ordinary Chinese. | can not bear to see your people sufferingThe biggest hindu killer! Pity he's still the revered leader.Tell PM and his useless party to go and sell chai..
",
29,"A nation full of beggars.Says a nation full of donkey's. BTW halala hua ki nahi abtak.A nation with full of baggerA nation full of bitches.A nation full with pigs.a nation full of prostitute#INDKMBA nation full of coward remember 1971A nation full of pigs, yes u re right that is Pakistan| wish u had some atleast wo wafadar hote hai better than Porkis................:0+ pigsHypocrite muslims , why aren't you raising voice against muslim oppression in China , they aren't even allowed to bury the deceased , stating that burying the dead pollutes the soil , so they are forced to burn it .Pakistan full of swines then. Settle, miss plastic??
",
30,"Burhan and signs of shitHen feex Vaart Gat Terps F pet TY HrepISH & Ae Ste FT GT TS 11 Uta Sar sew S Sar Heel S FEA Gat Tes aTeiy HTTeri maa ka....Yes he was a son a fighter a martyr of yours vagi##, Bloody terrorist.Namak haramTu Kon si number wali begum hai? halala count alag karna..discount milega..tere rapist shauhar ka woh katke parcelThis Pic gives So much relief to meHees HTH Geel St URIs fete & a A Var st fafsar cree Het or Ate & , Tel TANT Srv e!! Gra fa Sfsaq 3A is doing great Job. SaluteAaja saamne me debate ki khuli chunoti de raha hu Haq Qur'an hai ya Ved pata chal jaayega .Kitnaa Glycerin Use Kiyaa ???greet S at a Saka om Yel B AT & BredeRar vt Aesry eet eb ae gaa GR AMT 1Ser art at feat Ht ter Vt Ty GR GR 72 Ri ors Nor fey TGA Gat aA ct Year we ct foray Year Her S Ge Fer Her wr eit s ot Aes HT eit s IMR Gert at 2 at Sa st THsun tera pati bhi uss bhosdiwale burhan wani ke paas janey wala haiKabhi Osama ki bhi barsi mana liya karo. Sab terrorists ko baap tha wo.
",
31,Arre kathmulli. BP high ho gaya to bolo PKMKB.Hahahaha you are on fire ek pagalBikhari Desh ki Anchor ho ye mat. Bhul jaanaAnd i guess more barking is from your side.Bitch is talking..... Indian ki spelling to theek se likh le .He said it before partition....thinking of gandhi and nehruYes | am your dogUr the concubine of Imran Khan chutiya..shameless womanEunuch terrorists always diewhen you make fun of indian's for Gaumutra but don't realize that your own Prophet muhammad advised muslims to drink camel urine ...,
32,A nation full of beggars.Says a nation full of donkey's. BTW halala hua ki nahi abtak.A nation with full of baggerA nation full of bitches.A nation full with pigs.a nation full of prostitute#INDKMBA nation full of coward remember 1971A nation full of pigs yes u re right that is Pakistan| wish u had some atleast wo wafadar hote hai better than Porkis................:0+ pigsHypocrite muslims  why aren't you raising voice against muslim oppression in China they aren't even allowed to bury the deceased ...Pakistan full of swines then. Settle miss plastic??,
33,"CHAL JHOOTAAnd Coming frm ur Czn Brother Israel, whom, your country is followingHitler had caused WW2, we wont let MODI (here is your real Racist face...Pakistan coward army killed innocent baloch, pashthunWell that explains why the Nazi like Jews are in India helping themSTOP creating false alarmIf he is Hitler. Y not Pakistan destroy him before he destroy his neighbors??Even IK likes Hitler wanted him to take a “Uturn”",
34,"aa at ye aoa eWow haBahot sahiLook at the ladies face....enjoying the art gracefullyHow is this not communal ?oil ga gle &T FetaTeta wrel orm fey Sl ale ae, AMfetes ARIST St STG! HF at sie GH Beer sted feat & a WI Art. Artist.apni Auqaat dekhlo pehle...Andh bhaktThe art guess the artistKathua(Art)===Hindutva (artists)",
35," eae AT AAT Et HM S Ae AT Ie let Sea WS ATA Aes Sr Has SEI HI Ta HL TS TEN |! Glee aA at Mees S Gos , aT, TH! AH HT ec Oe wats H AAS Hr ANT TT Lets Te |Rlail HA Tar AE wt Ter Vat| don't vouch the action of this video butCanadian NRIs....bunch of chutiyaazSuch shame these guys are they feel safe by doing it in foreign country... how long can they stay there... one day they will be kicked out of that country then they start applying the sympathy card to come back . Then we will see where they will ¢Sis COT TOA ATT AR WR AS Ga B, Tet Stats..Why don’t you ashamed of this khalistani movement...Sa TER HY Met AR Vt Hertel BY Har ert SaTTTAapke sehyogi ....... ye chahiye aapko .....,They chant never forget 1984, then the revenge to be taken on whom? BJP was not in power during 1984. Joke by the famous Khushwant Singh. How can Santa kill a lion? Santa thinks and thinks hard and comes to a conclusion: I'll drink poisonSurely this video is not from India NZ or Canada??
",
36,"Country Flag only is alive and have meaning if, only citizens are alive. If the Government starts killing abusing his own citizens, then how the meaning o...EVMs se chunav jeetney wali Sarkar ko haar ka darr nahi, to Angrejo ki tarah Julm kyon na karey? Aur choop rahey India EVMs ghotalon par@Tanzeb_K777's account is temporarily unavailable because it violates the Twitter Media Policy.sel HS fear Ae o Ter aot AAS Voy sitet @ Yel | Bridgefy, Briar, Signaloffline,Vojer,Peerchat,Near pear Firechat 3i bridgefype Are Feet news F 2...""They may kill me, but they cannot kill my ideas. They can crush my body, but they will not be able to crush my spirit"" : Bhagat Singh#ModiPlanningFarmerGenocide#ModiPlanningFarmerGenocideOf course his party and RSS have a idea to kill punjabi. But it's should indirectly. So others country and even Punjab 's people think. It's a okay and Go...#ModiPlanningFarmerGenocide",
37,"What is this, | feel ur in this group#modi_a_traitorBut this time is not for wasting to talk about lakha Or deep, our main target only one repeal the laws and msp guarantee, that's it#shameonbollywood#ModiPlanningFarmersGenocideEh kudi ne sach dikhaun di koshish keeti naal e call a gai media office to b hyperbolice nahi nolna .. aap dekho te decide kro eh local ...Zalm sarkar aage na jhukke c Naa hun jhukke haan Tw aage v sache patsha kirpa bnaayi rakhe. S.H.0 @T acta 8 aaa feat sa, Tt sabt gars Es 21 Yew z fH Police et, 37 army eet AH army & Sart Sahl AIR SHI Tis A Stet VA 3AM...We want the Farm laws to be repealed",
38,"God! Why so much of hatred in this world! Is that why you (God) created humans? Religion, land, money is there anything we don’t fight for? Its a dirty place out there. Have mercy on us God!Please hear, it is about Khalistan promoters...@nshuklainCcPT , HTT Urel & BONER Seca STATA UNAS May HT STAT Ee ETThis is not in India and they will never dare or dream to do in India. Jai Hind.List all top 100 SKJ leaders and ‘punish’ them like Mossad style, no one should dare to disrespect Tiranga.IS] & Babbar Khalsa goons also part of Desh ka Annadata, protesting farmers.is this acceptable ?Kya aadmi hai yaar tu.... RT khaane ke liye khud ka hi apmaan karwa raha hai?Yeh india ka protest nhi h videsh ka hjis desh ke jhande ke liye laakhon logon ne jaan dedi, uska apmaan krne wale ko life time imprisonment ya faansi se kam nhi milna chahiyeFucking the busted person.. whom was walking in the Indian flag he don't know about the Indian flag value",
39,"Jharkhand mein bhi hua!Shame on such RSS gundasKya (A) Ache Din haiaint ait dt are we eR Tre B Get fab Aer He ett eSIt started with Muslims..Now even Christian nuns cannot pass by UP on train..Very soon some sections from the Hindus will be identi...Acche din in UP or Ram RajShame on RSS and BJP and YOGISo your people in afganistan pakistan Bangladesh Syria Iraq etc what did with chiristains don't tell half truthChootiyo ki jamaat hamesha roti hIt is a very shameful act this show that a selected group of so called themselves as Hindu supported by brainless and shameless de...So you leaving this country and scooting to peaceful PakistanFacism has only venom for humanity They seems to rule like a bloody basterds life , it's every human responsibility to save humanity ...",
40,"2. Comment is as rubbish as your thinking. DislikeLove Kashmir . Love India.Comnt is as rubesh as your thinking dislikeLove Kashmir . Love India.Move out and see. There is development and peace in the valley. Don't spread hate and fake newsPrepogandaPropagandaFake. Comment is as rubbish as your thinking. DislikeLove Kashmir love IndiaFakeFakeREAL KASHMIR#####This is real kashmir
",
41,"Dear north Indian mediapersons, welcome to my wayanad.. Wayanad is a sanghi free land. No sanghi here, no polarisation here, no lynching here, no illiterate here... And it is a beautiful green paradise India Today NDTV Republic TV Aaj Tak ;ofBigotry on displayoil fegfed feb sa UT set Ver WR Ut SUTThis is Muslim league flag.. plan to have other division with congressi help.90 cr. Nhi 105cr. Hindu hai India me.This is what sanghi imbeciles do. Propagate fake news !!aga feat & are foie & Gao BT aVaA BUI aT UH & ae Oe OT feo HRT TY 37g TT TY aS UH He AT ST HT ASA & feyParty flag hai.. Why u hate green colorOMG!! Scary.bjp 38 at gt , Fat gent gare AR fest ret HY festa Tel GY Tora Hr Voit F urfeses HT gist HET = NAMO AGAIN
",
